CAT_SUBJECTCODE,CAT_TITLE,SUPERCAT_SUBJECTCODE,SUPERCAT_TITLE
"C28000","Medicinal Chemistry","C","Chemistry"
"C29000","Catalysis","C","Chemistry"
"C11006","Analytical Chemistry","C","Chemistry"
"C33000","Nanochemistry","C00004","Chemistry/Food Science, general"
"C11010","Mass Spectrometry","C11006","Analytical Chemistry"
"C11030","Chromatography","C11006","Analytical Chemistry"
"C11020","Spectroscopy/Spectrometry","C11006","Analytical Chemistry"
"C12040","Microengineering","C12002","Biotechnology"
"C12050","Electroporation","C12002","Biotechnology"
"C12037","Genetic Engineering","C12002","Biotechnology"
"C12029","Biochemical Engineering","C12002","Biotechnology"
"C12010","Applied Microbiology","C12002","Biotechnology"
"C19030","Carbohydrate Chemistry","C19007","Organic Chemistry"
"C19020","Organometallic Chemistry","C19007","Organic Chemistry"
"C19010","Bioorganic Chemistry","C19007","Organic Chemistry"
"C21010","Electrochemistry","C21001","Physical Chemistry"
"D00009","Dentistry","D","Dentistry"
"E00003","Philosophy","E","Philosophy"
"E38000","Pragmatism","E","Philosophy"
"E41000","Moral Philosophy","E","Philosophy"
"E42000","Philosophy of History","E","Philosophy"
"E43000","Social Philosophy","E","Philosophy"
"E44000","Philosophical Traditions","E","Philosophy"
"E45000","Postmodern Philosophy","E","Philosophy"
"E46000","Poststructuralism","E","Philosophy"
"E49000","Philosophical and Historical Foundations of Science","E","Philosophy"
"E47000","Continental Philosophy","E","Philosophy"
"E48000","Humanism","E","Philosophy"
"E11000","Aesthetics","E","Philosophy"
"E12000","Classical Philosophy","E","Philosophy"
"E13000","Epistemology","E","Philosophy"
"E14000","Ethics","E","Philosophy"
